fips,year,month_name,unemployment_rate,employment_rate
23,2020,August,3.6,96.4
23,2020,September,3.0,97.0
23,2020,October,3.0,97.0
23,2020,November,3.4,96.6
23,2020,December,4.0,96.0
23,2021,January,5.5,94.5
23,2021,February,5.7,94.3
23,2021,March,5.5,94.5
23,2021,April,5.4,94.6
23,2021,May,5.1,94.9
23,2021,June,5.2,94.8
23,2021,July,4.7,95.3
23,2021,August,4.5,95.5
23,2021,September,4.0,96.0
23,2021,October,3.9,96.1
23,2021,November,4.0,96.0
23,2021,December,3.7,96.3
23,2022,January,4.4,95.6
23,2022,February,4.0,96.0
23,2022,March,3.6,96.4
23,2022,April,3.0,97.0
23,2022,May,2.8,97.2
23,2022,June,2.5,97.5
23,2022,July,2.3,97.7
23,2022,August,2.1,97.9
23,2022,September,2.2,97.8
23,2022,October,2.3,97.7
23,2022,November,2.6,97.4
23,2022,December,2.4,97.6
24,2020,January,3.5,96.5
24,2020,February,3.5,96.5
24,2020,March,4.1,95.9
24,2020,April,8.6,91.4
24,2020,May,9.1,90.9
24,2020,June,8.2,91.8
24,2020,July,8.0,92.0
24,2020,August,7.0,93.0
24,2020,September,7.0,93.0
24,2020,October,6.5,93.5
24,2020,November,6.3,93.7
24,2020,December,6.4,93.6
24,2021,January,6.7,93.3
24,2021,February,6.5,93.5
24,2021,March,6.2,93.8
24,2021,April,5.6,94.4
24,2021,May,5.5,94.5
24,2021,June,6.0,94.0
24,2021,July,5.5,94.5
24,2021,August,5.2,94.8
24,2021,September,4.4,95.6
24,2021,October,4.1,95.9
24,2021,November,3.7,96.3
24,2021,December,3.1,96.9
24,2022,January,3.7,96.3
24,2022,February,3.6,96.4
24,2022,March,3.2,96.8
24,2022,April,2.7,97.3
24,2022,May,2.8,97.2
24,2022,June,3.4,96.6
24,2022,July,3.2,96.8
24,2022,August,3.2,96.8
24,2022,September,2.6,97.4
24,2022,October,2.8,97.2
24,2022,November,2.4,97.6
24,2022,December,2.1,97.9
25,2020,January,3.5,96.5
25,2020,February,3.4,96.6
25,2020,March,3.8,96.2
25,2020,April,17.2,82.8
25,2020,May,14.5,85.5
25,2020,June,14.7,85.3
25,2020,July,12.8,87.2
25,2020,August,10.2,89.8
25,2020,September,9.5,90.5
25,2020,October,7.9,92.1
25,2020,November,7.3,92.7
25,2020,December,7.2,92.8
25,2021,January,7.3,92.7
25,2021,February,6.9,93.1
25,2021,March,6.3,93.7
25,2021,April,5.5,94.5
25,2021,May,5.3,94.7
25,2021,June,5.8,94.2
25,2021,July,5.5,94.5
25,2021,August,5.0,95.0
25,2021,September,4.4,95.6
25,2021,October,4.1,95.9
25,2021,November,3.6,96.4
25,2021,December,3.6,96.4
25,2022,January,4.4,95.6
25,2022,February,4.2,95.8
25,2022,March,3.8,96.2
25,2022,April,3.2,96.8
25,2022,May,3.5,96.5
25,2022,June,3.8,96.2
25,2022,July,3.9,96.1
25,2022,August,3.9,96.1
25,2022,September,3.3,96.7
25,2022,October,3.3,96.7
25,2022,November,3.2,96.8
25,2022,December,3.3,96.7
26,2020,January,4.2,95.8
26,2020,February,3.7,96.3
26,2020,March,4.6,95.4
26,2020,April,22.5,77.5
26,2020,May,19.6,80.4
26,2020,June,14.7,85.3
26,2020,July,12.9,87.1
26,2020,August,9.7,90.3
26,2020,September,8.7,91.3
26,2020,October,6.9,93.1
26,2020,November,6.5,93.5
26,2020,December,7.0,93.0
26,2021,January,6.8,93.2
26,2021,February,6.5,93.5
26,2021,March,6.3,93.7
26,2021,April,5.9,94.1
26,2021,May,6.1,93.9
26,2021,June,6.7,93.3
26,2021,July,6.6,93.4
26,2021,August,5.9,94.1
26,2021,September,5.1,94.9
26,2021,October,4.5,95.5
26,2021,November,3.8,96.2
26,2021,December,4.0,96.0
26,2022,January,5.0,95.0
26,2022,February,4.9,95.1
26,2022,March,4.4,95.6
26,2022,April,4.0,96.0
26,2022,May,4.2,95.8
26,2022,June,4.4,95.6
26,2022,July,4.4,95.6
26,2022,August,4.1,95.9
26,2022,September,3.7,96.3
26,2022,October,3.7,96.3
26,2022,November,3.5,96.5
26,2022,December,3.7,96.3
27,2020,January,3.9,96.1
27,2020,February,3.8,96.2
27,2020,March,4.7,95.3
27,2020,April,8.6,91.4
27,2020,May,11.1,88.9
27,2020,June,9.1,90.9
27,2020,July,8.0,92.0
27,2020,August,6.3,93.7
27,2020,September,5.7,94.3
27,2020,October,4.8,95.2
27,2020,November,4.4,95.6
27,2020,December,4.9,95.1
27,2021,January,5.2,94.8
27,2021,February,4.8,95.2
27,2021,March,4.6,95.4
27,2021,April,4.1,95.9
27,2021,May,3.6,96.4
27,2021,June,4.2,95.8
27,2021,July,3.5,96.5
27,2021,August,3.5,96.5
27,2021,September,3.0,97.0
27,2021,October,2.6,97.4
27,2021,November,2.4,97.6
27,2021,December,2.7,97.3
27,2022,January,3.4,96.6
27,2022,February,3.1,96.9
27,2022,March,2.9,97.1
27,2022,April,2.2,97.8
27,2022,May,2.0,98.0
27,2022,June,2.6,97.4
27,2022,July,2.3,97.7
27,2022,August,2.4,97.6
27,2022,September,2.0,98.0
27,2022,October,2.0,98.0
27,2022,November,2.2,97.8
27,2022,December,2.8,97.2
28,2020,January,5.5,94.5
28,2020,February,5.2,94.8
28,2020,March,6.7,93.3
28,2020,April,14.8,85.2
